StoreID,StoreName,Region,City,StoreType,OpeningDate
S001,Store_Plaza 1,North,Dallas,Standard,2017-07-03
S002,Store_Mall 2,South,Las Vegas,Flagship,2021-08-15
S003,Store_Market 3,North,New York,Flagship,2017-06-14
S004,Store_Mall 4,North,Las Vegas,Standard,2023-01-11
S005,Store_Hub 5,Southeast,San Diego,Express,2021-08-10
S006,Store_Center 6,North,Philadelphia,Express,2018-10-25
S007,Store_Center 7,East,San Antonio,Compact,2016-02-23
S008,Store_Plaza 8,Southeast,Houston,Compact,2018-11-09
S009,Store_Hub 9,Central,Los Angeles,Express,2021-01-05
S010,Store_Plaza 10,Southeast,Chicago,Superstore,2018-04-15
S011,Store_Hub 11,Northeast,San Antonio,Flagship,2015-07-07
S012,Store_Mall 12,Central,Chicago,Standard,2016-02-18
S013,Store_Market 13,Central,Atlanta,Compact,2016-10-28
S014,Store_Center 14,Northeast,San Antonio,Compact,2022-11-14
S015,Store_Plaza 15,East,Las Vegas,Standard,2016-10-31
S016,Store_Market 16,Southeast,Dallas,Superstore,2017-06-18
S017,Store_Center 17,North,San Diego,Flagship,2018-07-16
S018,Store_Market 18,Central,Chicago,Standard,2021-05-12
S019,Store_Center 19,West,Detroit,Express,2022-03-18
S020,Store_Market 20,East,Dallas,Standard,2017-10-07
S021,Store_Hub 21,Central,Miami,Superstore,2019-06-24
S022,Store_Center 22,West,Phoenix,Superstore,2020-07-14
S023,Store_Plaza 23,North,Houston,Standard,2022-01-14
S024,Store_Mall 24,Southeast,Chicago,Express,2019-04-13
S025,Store_Hub 25,Midwest,Portland,Compact,2021-03-16
S026,Store_Plaza 26,South,Las Vegas,Compact,2022-03-10
S027,Store_Center 27,South,Austin,Express,2016-10-09
S028,Store_Market 28,North,Dallas,Superstore,2017-01-01
S029,Store_Hub 29,South,Austin,Superstore,2021-10-30
S030,Store_Mall 30,East,Seattle,Standard,2021-01-18
S031,Store_Hub 31,North,Boston,Express,2015-03-21
S032,Store_Plaza 32,Northeast,Austin,Standard,2015-08-26
S033,Store_Mall 33,South,Chicago,Express,2015-10-11
S034,Store_Hub 34,East,Phoenix,Express,2021-03-01
S035,Store_Mall 35,Central,Portland,Superstore,2019-09-30
S036,Store_Mall 36,West,Austin,Express,2022-07-14
S037,Store_Center 37,Midwest,Portland,Express,2016-05-10
S038,Store_Mall 38,West,Chicago,Compact,2015-03-28
S039,Store_Hub 39,West,San Diego,Flagship,2015-10-18
S040,Store_Plaza 40,West,Chicago,Flagship,2018-09-15
S041,Store_Plaza 41,West,Dallas,Express,2017-05-27
S042,Store_Hub 42,East,Detroit,Standard,2020-04-21
S043,Store_Market 43,West,Houston,Flagship,2022-05-23
S044,Store_Market 44,Northeast,Miami,Express,2020-03-27
S045,Store_Plaza 45,South,Los Angeles,Express,2023-03-02
S046,Store_Center 46,South,San Diego,Standard,2017-02-18
S047,Store_Hub 47,Midwest,Phoenix,Express,2017-01-21
S048,Store_Center 48,Midwest,San Diego,Flagship,2019-12-21
S049,Store_Hub 49,South,Los Angeles,Superstore,2015-03-02
S050,Store_Plaza 50,West,Philadelphia,Express,2020-06-12
S051,Store_Market 51,West,Denver,Flagship,2016-11-05
S052,Store_Market 52,North,Denver,Compact,2020-02-07
S053,Store_Center 53,Southeast,Las Vegas,Express,2016-09-26
S054,Store_Mall 54,Central,San Antonio,Flagship,2021-06-30
S055,Store_Hub 55,North,Boston,Flagship,2015-07-25
S056,Store_Hub 56,Midwest,Portland,Superstore,2016-10-06
S057,Store_Plaza 57,South,Philadelphia,Flagship,2021-09-03
S058,Store_Plaza 58,West,Denver,Flagship,2021-05-22
S059,Store_Mall 59,North,Chicago,Express,2022-05-16
S060,Store_Hub 60,Northeast,Dallas,Standard,2022-07-06
S061,Store_Center 61,West,Dallas,Express,2016-06-20
S062,Store_Center 62,Midwest,Boston,Flagship,2015-02-08
S063,Store_Market 63,South,Chicago,Superstore,2017-05-23
S064,Store_Hub 64,Central,Phoenix,Compact,2015-10-09
S065,Store_Mall 65,Northeast,Austin,Standard,2019-11-30
S066,Store_Hub 66,Central,Portland,Flagship,2022-06-28
S067,Store_Hub 67,Central,Houston,Standard,2017-12-19
S068,Store_Plaza 68,South,Las Vegas,Standard,2018-01-20
S069,Store_Center 69,West,Boston,Standard,2022-09-16
S070,Store_Center 70,Midwest,Dallas,Flagship,2016-01-14
S071,Store_Market 71,Central,Los Angeles,Flagship,2018-09-28
S072,Store_Mall 72,Central,Philadelphia,Express,2021-03-09
S073,Store_Market 73,North,Houston,Flagship,2022-10-01
S074,Store_Mall 74,North,Seattle,Superstore,2021-03-13
S075,Store_Mall 75,Southeast,Phoenix,Flagship,2018-06-16
S076,Store_Center 76,North,Seattle,Standard,2022-08-25
S077,Store_Mall 77,South,Seattle,Superstore,2019-07-23
S078,Store_Hub 78,East,San Diego,Standard,2016-12-26
S079,Store_Market 79,North,Philadelphia,Compact,2019-08-14
S080,Store_Mall 80,Central,Philadelphia,Flagship,2019-04-16
S081,Store_Plaza 81,Midwest,San Diego,Standard,2020-02-29
S082,Store_Center 82,Central,San Diego,Standard,2015-04-07
S083,Store_Mall 83,Southeast,Boston,Compact,2015-10-12
S084,Store_Center 84,Northeast,Portland,Express,2022-08-15
S085,Store_Hub 85,Northeast,New York,Flagship,2017-12-05
S086,Store_Mall 86,Central,Los Angeles,Flagship,2021-09-09
S087,Store_Market 87,Northeast,Boston,Express,2021-10-19
S088,Store_Hub 88,South,Denver,Superstore,2017-02-17
S089,Store_Center 89,North,Miami,Flagship,2020-10-30
S090,Store_Hub 90,West,Seattle,Express,2015-10-14
S091,Store_Center 91,Northeast,Houston,Compact,2020-09-08
S092,Store_Center 92,Southeast,Boston,Express,2022-10-26
S093,Store_Center 93,East,San Antonio,Express,2022-06-16
S094,Store_Market 94,East,Austin,Express,2021-02-22
S095,Store_Plaza 95,Central,Austin,Standard,2019-10-27
S096,Store_Hub 96,Northeast,Atlanta,Express,2019-12-17
S097,Store_Mall 97,Midwest,Philadelphia,Flagship,2018-03-08
S098,Store_Hub 98,Northeast,Chicago,Standard,2022-07-18
S099,Store_Center 99,West,San Antonio,Standard,2015-04-11
S100,Store_Plaza 100,West,Detroit,Superstore,2015-10-26
S101,Store_Market 101,Southeast,San Antonio,Express,2020-07-17
S102,Store_Market 102,West,Phoenix,Flagship,2016-03-12
S103,Store_Market 103,West,Philadelphia,Superstore,2020-03-17
S104,Store_Plaza 104,West,Houston,Express,2016-06-30
S105,Store_Market 105,Northeast,Atlanta,Superstore,2023-01-25
S106,Store_Hub 106,Southeast,Las Vegas,Express,2016-10-13
S107,Store_Market 107,Midwest,Dallas,Standard,2022-02-24
S108,Store_Center 108,Midwest,San Diego,Compact,2019-12-07
S109,Store_Plaza 109,Central,San Diego,Compact,2018-10-07
S110,Store_Center 110,South,Phoenix,Standard,2017-08-05
S111,Store_Market 111,East,San Antonio,Flagship,2019-08-27
S112,Store_Market 112,Northeast,Las Vegas,Express,2019-08-31
S113,Store_Plaza 113,West,Miami,Express,2021-07-20
S114,Store_Plaza 114,Southeast,Detroit,Flagship,2018-12-11
S115,Store_Center 115,Southeast,Miami,Superstore,2021-02-14
S116,Store_Hub 116,West,Detroit,Standard,2018-01-22
S117,Store_Market 117,Midwest,New York,Express,2018-10-08
S118,Store_Market 118,East,Atlanta,Standard,2021-12-23
S119,Store_Hub 119,North,Denver,Superstore,2021-04-30
S120,Store_Plaza 120,South,Miami,Standard,2020-03-06
S121,Store_Mall 121,North,Dallas,Express,2018-09-02
S122,Store_Mall 122,Midwest,Boston,Compact,2019-04-02
S123,Store_Center 123,Southeast,Dallas,Flagship,2020-04-10
S124,Store_Plaza 124,North,Seattle,Standard,2022-04-16
S125,Store_Plaza 125,North,New York,Standard,2017-03-27
S126,Store_Plaza 126,East,San Diego,Standard,2020-04-23
S127,Store_Plaza 127,West,Atlanta,Compact,2019-02-19
S128,Store_Mall 128,South,Philadelphia,Compact,2016-03-18
S129,Store_Hub 129,North,Austin,Superstore,2022-08-06
S130,Store_Market 130,Southeast,San Antonio,Flagship,2021-08-22
S131,Store_Mall 131,South,Austin,Superstore,2016-05-10
S132,Store_Hub 132,North,Seattle,Superstore,2019-10-21
S133,Store_Center 133,South,Portland,Compact,2015-02-21
S134,Store_Market 134,Midwest,Houston,Express,2019-01-23
S135,Store_Market 135,East,Miami,Standard,2020-11-07
S136,Store_Center 136,Midwest,Atlanta,Express,2023-03-14
S137,Store_Hub 137,Central,Boston,Standard,2015-12-21
S138,Store_Center 138,Midwest,San Diego,Express,2021-05-23
S139,Store_Hub 139,Southeast,Boston,Flagship,2020-07-17
S140,Store_Center 140,East,Detroit,Standard,2018-12-24
S141,Store_Center 141,Northeast,Dallas,Superstore,2022-11-12
S142,Store_Center 142,North,Portland,Standard,2015-12-17
S143,Store_Mall 143,Southeast,Detroit,Superstore,2017-09-11
S144,Store_Market 144,Midwest,Atlanta,Flagship,2016-01-17
S145,Store_Center 145,West,Denver,Standard,2018-06-08
S146,Store_Hub 146,Northeast,Detroit,Superstore,2020-12-14
S147,Store_Center 147,Southeast,Las Vegas,Compact,2018-12-12
S148,Store_Market 148,Central,Austin,Compact,2017-08-02
S149,Store_Plaza 149,West,Boston,Flagship,2021-01-03
S150,Store_Mall 150,West,San Antonio,Express,2018-02-06
S151,Store_Hub 151,Central,Houston,Standard,2018-04-28
S152,Store_Mall 152,Northeast,Philadelphia,Compact,2015-02-27
S153,Store_Hub 153,East,Dallas,Flagship,2015-08-12
S154,Store_Hub 154,Central,Phoenix,Express,2016-02-25
S155,Store_Plaza 155,Central,Detroit,Express,2019-12-10
S156,Store_Center 156,East,Los Angeles,Compact,2020-05-10
S157,Store_Plaza 157,South,Denver,Express,2015-10-31
S158,Store_Hub 158,North,Phoenix,Standard,2021-04-24
S159,Store_Center 159,South,San Diego,Flagship,2021-04-04
S160,Store_Market 160,West,Portland,Express,2020-01-20
S161,Store_Market 161,Central,Miami,Compact,2021-05-18
S162,Store_Hub 162,North,Houston,Standard,2022-01-06
S163,Store_Mall 163,Central,Chicago,Standard,2017-09-09
S164,Store_Mall 164,South,Philadelphia,Flagship,2019-08-01
S165,Store_Market 165,Midwest,Austin,Flagship,2017-08-06
S166,Store_Center 166,Central,Atlanta,Flagship,2022-09-16
S167,Store_Mall 167,Central,San Antonio,Express,2016-04-15
S168,Store_Hub 168,West,Phoenix,Compact,2016-08-05
S169,Store_Plaza 169,North,Philadelphia,Compact,2021-09-03
S170,Store_Hub 170,Central,Atlanta,Flagship,2020-04-03
S171,Store_Center 171,Southeast,Dallas,Superstore,2021-01-20
S172,Store_Market 172,Midwest,Chicago,Superstore,2015-06-13
S173,Store_Market 173,Northeast,Dallas,Flagship,2016-01-10
S174,Store_Mall 174,North,Dallas,Superstore,2015-06-14
S175,Store_Mall 175,Midwest,Portland,Express,2018-02-13
S176,Store_Mall 176,Southeast,Detroit,Flagship,2020-04-09
S177,Store_Center 177,Southeast,Boston,Compact,2022-07-07
S178,Store_Plaza 178,East,Boston,Express,2022-10-12
S179,Store_Market 179,Central,Denver,Superstore,2015-05-31
S180,Store_Market 180,South,Boston,Compact,2018-08-17
S181,Store_Plaza 181,Southeast,Portland,Flagship,2022-05-17
S182,Store_Hub 182,Midwest,Miami,Flagship,2017-02-07
S183,Store_Hub 183,Northeast,Detroit,Express,2015-07-31
S184,Store_Mall 184,Central,Las Vegas,Standard,2018-03-25
S185,Store_Market 185,Midwest,Houston,Flagship,2022-01-24
S186,Store_Hub 186,West,Philadelphia,Compact,2021-03-06
S187,Store_Plaza 187,Southeast,Chicago,Standard,2016-04-09
S188,Store_Market 188,South,Phoenix,Express,2023-01-14
S189,Store_Center 189,Central,Miami,Express,2020-04-18
S190,Store_Mall 190,Midwest,Las Vegas,Standard,2019-04-21
S191,Store_Mall 191,East,Chicago,Compact,2019-08-27
S192,Store_Center 192,Central,New York,Compact,2023-02-21
S193,Store_Center 193,Midwest,Phoenix,Express,2021-01-15
S194,Store_Market 194,Northeast,Boston,Superstore,2021-02-03
